lat,lon,object_class,geometry
52.8651540,-1.2614057,cooling_tower,POINT (-1.2614057 52.865154)
51.5156754,6.9987837,cooling_tower,POINT (6.9987837 51.5156754)
60.0157319,30.0920631,cooling_tower,POINT (30.0920631 60.0157319)
50.6049501,136.9631883,cooling_tower,POINT (136.9631883 50.6049501)
50.6054471,136.9641969,cooling_tower,POINT (136.9641969 50.6054471)
52.3826387,8.9986362,cooling_tower,POINT (8.9986362 52.3826387)
46.2528196,26.8370452,cooling_tower,POINT (26.8370452 46.2528196)
46.2565162,26.8329823,cooling_tower,POINT (26.8329823 46.2565162)
46.2540340,26.8346187,cooling_tower,POINT (26.8346187 46.254034)
46.2532171,26.8362434,cooling_tower,POINT (26.8362434 46.2532171)
46.2544401,26.8338178,cooling_tower,POINT (26.8338178 46.2544401)
46.2536204,26.8354395,cooling_tower,POINT (26.8354395 46.2536204)
46.2572530,26.8314897,cooling_tower,POINT (26.8314897 46.257253)
46.2568804,26.8322401,cooling_tower,POINT (26.8322401 46.2568804)
51.2749730,7.7067839,cooling_tower,POINT (7.7067839 51.274973)
46.2532264,26.8165563,cooling_tower,POINT (26.8165563 46.2532264)
46.2523975,26.8262306,cooling_tower,POINT (26.8262306 46.2523975)
30.2631860,75.1633590,cooling_tower,POINT (75.163359 30.263186)
30.2649888,75.1633876,cooling_tower,POINT (75.16338759999999 30.2649888)
30.2649937,75.1612633,cooling_tower,POINT (75.1612633 30.2649937)
30.2632027,75.1612506,cooling_tower,POINT (75.1612506 30.2632027)
51.4892453,6.7260690,cooling_tower,POINT (6.726069 51.4892453)
51.4896471,6.7260834,cooling_tower,POINT (6.7260834 51.4896471)
51.4880775,6.7302671,cooling_tower,POINT (6.7302671 51.4880775)
51.4880227,6.7293591,cooling_tower,POINT (6.7293591 51.4880227)
60.0136907,30.0919751,cooling_tower,POINT (30.0919751 60.0136907)
47.4988201,42.2099341,cooling_tower,POINT (42.2099341 47.4988201)
47.4947351,42.2164028,cooling_tower,POINT (42.2164028 47.4947351)
47.4992290,42.2106692,cooling_tower,POINT (42.2106692 47.499229)
42.0223814,21.4682619,cooling_tower,POINT (21.4682619 42.0223814)
51.5396424,-2.6719333,cooling_tower,POINT (-2.6719333 51.5396424)
51.5406265,-2.6711000,cooling_tower,POINT (-2.6711 51.5406265)
51.5386948,-2.6721243,cooling_tower,POINT (-2.6721243 51.5386948)
49.4189648,6.2164951,cooling_tower,POINT (6.2164951 49.4189648)
49.4152739,6.2121362,cooling_tower,POINT (6.2121362 49.4152739)
49.4126269,6.2102014,cooling_tower,POINT (6.2102014 49.4126269)
46.6662795,4.3510410,cooling_tower,POINT (4.351041 46.6662795)
42.7185714,23.3207149,cooling_tower,POINT (23.3207149 42.7185714)
42.7183301,23.3196370,cooling_tower,POINT (23.319637 42.7183301)
42.7180340,23.3203892,cooling_tower,POINT (23.3203892 42.718034)
42.7188066,23.3201056,cooling_tower,POINT (23.3201056 42.7188066)
40.0231893,26.9769487,cooling_tower,POINT (26.9769487 40.0231893)
44.1577191,28.6093322,cooling_tower,POINT (28.6093322 44.1577191)
44.1582704,28.6098724,cooling_tower,POINT (28.6098724 44.1582704)
44.1570615,28.6087404,cooling_tower,POINT (28.6087404 44.1570615)
40.4809420,21.7258225,cooling_tower,POINT (21.7258225 40.480942)
40.4815632,21.7244812,cooling_tower,POINT (21.7244812 40.4815632)
40.4801482,21.7267070,cooling_tower,POINT (21.726707 40.4801482)
54.6643599,20.5808366,cooling_tower,POINT (20.5808366 54.6643599)
39.2176975,117.3554580,cooling_tower,POINT (117.355458 39.2176975)
39.2165084,117.3554074,cooling_tower,POINT (117.3554074 39.2165084)
42.6498747,23.4152665,cooling_tower,POINT (23.4152665 42.6498747)
42.6503000,23.4159480,cooling_tower,POINT (23.415948 42.6503)
34.4960416,107.2231653,cooling_tower,POINT (107.2231653 34.4960416)
34.4979072,107.2208017,cooling_tower,POINT (107.2208017 34.4979072)
34.4989058,107.2195662,cooling_tower,POINT (107.2195662 34.4989058)
34.4969021,107.2220772,cooling_tower,POINT (107.2220772 34.4969021)
21.2360412,73.3472350,cooling_tower,POINT (73.347235 21.2360412)
21.2348647,73.3481279,cooling_tower,POINT (73.34812789999999 21.2348647)
26.5946661,101.6133804,cooling_tower,POINT (101.6133804 26.5946661)
26.1865671,104.1084960,cooling_tower,POINT (104.108496 26.1865671)
26.1886667,104.1076987,cooling_tower,POINT (104.1076987 26.1886667)
26.1839935,104.1097539,cooling_tower,POINT (104.1097539 26.1839935)
26.1853732,104.1090291,cooling_tower,POINT (104.1090291 26.1853732)
26.1876168,104.1080664,cooling_tower,POINT (104.1080664 26.1876168)
33.7610783,113.3655815,cooling_tower,POINT (113.3655815 33.7610783)
50.0897279,8.9537281,cooling_tower,POINT (8.953728099999999 50.0897279)
50.0901718,8.9531061,cooling_tower,POINT (8.953106099999999 50.0901718)
50.0900028,8.9522392,cooling_tower,POINT (8.952239199999999 50.0900028)
50.0895627,8.9528542,cooling_tower,POINT (8.952854200000001 50.0895627)
50.0891470,8.9518352,cooling_tower,POINT (8.9518352 50.089147)
50.0871027,8.9496966,cooling_tower,POINT (8.949696599999999 50.0871027)
50.0893271,8.9503188,cooling_tower,POINT (8.9503188 50.0893271)
49.2388002,120.5574158,cooling_tower,POINT (120.5574158 49.2388002)
49.2019232,120.5124122,cooling_tower,POINT (120.5124122 49.2019232)
40.0298574,113.2907967,cooling_tower,POINT (113.2907967 40.0298574)
40.0308977,113.2898771,cooling_tower,POINT (113.2898771 40.0308977)
40.0286959,113.2916689,cooling_tower,POINT (113.2916689 40.0286959)
40.0316892,113.2893008,cooling_tower,POINT (113.2893008 40.0316892)
40.0335260,113.2879290,cooling_tower,POINT (113.287929 40.033526)
40.0324614,113.2887119,cooling_tower,POINT (113.2887119 40.0324614)
40.0661583,113.2182598,cooling_tower,POINT (113.2182598 40.0661583)
-38.2563052,146.5768875,cooling_tower,POINT (146.5768875 -38.2563052)
-38.2552201,146.5776587,cooling_tower,POINT (146.5776587 -38.2552201)
-38.2514580,146.5716845,cooling_tower,POINT (146.5716845 -38.251458)
-38.2525131,146.5707768,cooling_tower,POINT (146.5707768 -38.2525131)
21.3383132,72.9862073,cooling_tower,POINT (72.9862073 21.3383132)
21.3387322,72.9849691,cooling_tower,POINT (72.9849691 21.3387322)
21.3391425,72.9837206,cooling_tower,POINT (72.9837206 21.3391425)
35.0108544,118.3278264,cooling_tower,POINT (118.3278264 35.0108544)
35.0109154,118.3290155,cooling_tower,POINT (118.3290155 35.0109154)
35.0061271,118.3261635,cooling_tower,POINT (118.3261635 35.0061271)
35.0110105,118.3302004,cooling_tower,POINT (118.3302004 35.0110105)
35.0093819,118.3272414,cooling_tower,POINT (118.3272414 35.0093819)
35.0051078,118.3261826,cooling_tower,POINT (118.3261826 35.0051078)
48.0965967,20.7351722,cooling_tower,POINT (20.7351722 48.0965967)
48.0968716,20.7412229,cooling_tower,POINT (20.7412229 48.0968716)
48.0969449,20.7417818,cooling_tower,POINT (20.7417818 48.0969449)
